Abkürzung|Art|Enheit|Benennung|Formel
DU|SW|l/s|Anschlusswert|NaN
DU_sum|SW|l/s|Anschlusmenge|sum(DU)
K|SW|NaN|Abflusskennzahl|NaN
Q_ww|SW|l/s|Schmutzwasserabfluss|K * sqrt(DU_SUM)
Q_P|SW|l/s|Pumpenförderstrom|NaN
Q_C|SW|l/s|Dauerabfluss|NaN
Q_tot|SW|l/s|Gesamtschmutzwasserabfluss|Q_ww + Q_C + Q_P
d_i|EW|mm|Innendurchmesser|NaN
d_a|EW|mm|Außendurchmesser|NaN
DN|EW|mm|Nennweite|NaN
J|EW|cm/m|Gefälle|NaN
h/d_i|EW|%|Füllungsgrad|NaN
Q_zul|SW|l/s|Zulässiger Schmutzwasserabfluss|NaN
v|EW|m/s|Geschwindigkeit|NaN
r_DT|RW|l/sxha|Berechnungsregenspende|NaN
A_E|RW|m2|Einzugsgebietsfläche|NaN
C_m|RW|NaN|mittlere Abflussbeiwert|NaN
C_e|RW|NaN|Endabflussbeiwert|Q_r / A_U
C_s|RW|NaN|Spitzenabflussbeiwert|NaN
A_U|RW|m2|Angeschlossene undurchlässige Fläche|A_E * C_m
Q_r|RW|l/s|NaN|r_DT * C_m * A_U * 1 / 10000
NaN|EW|NaN|NaN|NaN

# http://help.dendrit.net/Dendrit%20Studio%202017/Dendrit_Studio/Glossar/Gebaeude_Grundstuecksentwaesserung/Anschlusswert.html


