Qmax l/s	DN
1,50	70
4,00	100
	
3,00	100

RwSL - In Gebäude Füllungsgrad 50%											
Qr l/s	DN	J cm/m	Qr l/s	DN	J cm/m	Qr l/s	DN	J cm/m	Qr l/s	DN	J cm/m
1,80	100	0,50	2,50	100	1,00	3,10	100	1,50	3,50	100	2,00
2,80	125	0,50	4,10	125	1,00	5,00	125	1,50	5,70	125	2,00
5,40	150	0,50	7,70	150	1,00	9,40	150	1,50	10,90	150	2,00
10,00	200	0,50	14,20	200	1,00	17,40	200	1,50	20,10	200	2,00
15,90	225	0,50	22,50	225	1,00	27,60	225	1,50	31,90	225	2,00
18,90	250	0,50	26,90	250	1,00	32,90	250	1,50	38,10	250	2,00
											
16,00	250	0,5	24,00	250	1,0	24,00	225	1,5	24,00	225	2,0
											
											
RwGL - Auser dem Gebäude Füllungsgrad 70%											
Qr l/s	DN	J cm/m	Qr l/s	DN	J cm/m	Qr l/s	DN	J cm/m	Qr l/s	DN	J cm/m
2,90	100	0,50	4,20	100	1,00	5,10	100	1,50	5,90	100	2,00
4,80	125	0,50	6,80	125	1,00	8,30	125	1,50	9,60	125	2,00
9,00	150	0,50	12,80	150	1,00	15,70	150	1,50	18,20	150	2,00
16,70	200	0,50	23,70	200	1,00	29,10	200	1,50	33,60	200	2,00
26,50	225	0,50	37,60	225	1,00	46,20	225	1,50	53,30	225	2,00
31,60	250	0,50	44,90	250	1,00	55,00	250	1,50	63,30	250	2,00
											
27,00	250	0,5	24,00	225	1,0	24,00	200	1,5	24,00	200	2,0
