Regendauer,HN_001A,HN_002A,HN_003A,HN_005A,HN_010A,HN_020A,HN_030A,HN_050A,HN_100A
0005,156.66666666666669,213.33333333333334,243.33333333333334,286.66666666666663,339.99999999999994,396.66666666666663,430.0,470.0,526.6666666666667
0010,123.33333333333333,160.0,181.66666666666669,210.0,246.66666666666666,283.33333333333337,305.0,331.66666666666663,370.0
0015,102.2222222222222,131.11111111111111,148.88888888888889,170.0,198.88888888888886,227.77777777777777,245.55555555555557,266.6666666666667,295.55555555555554
0020,87.5,111.66666666666667,125.83333333333333,144.16666666666669,168.33333333333331,193.33333333333331,207.5,225.83333333333334,250.0
0030,67.22222222222223,86.66666666666667,97.7777777777778,112.22222222222221,131.66666666666666,150.55555555555557,162.22222222222223,176.11111111111111,195.5555555555556
0045,50.0,65.1851851851852,74.07407407407408,85.55555555555556,100.74074074074073,115.92592592592594,124.81481481481484,135.92592592592595,151.1111111111111
0060,40.0,52.77777777777778,60.27777777777778,69.72222222222221,82.5,95.27777777777777,102.77777777777779,112.22222222222221,125.0
0090,29.444444444444443,38.7037037037037,44.07407407407407,50.74074074074075,60.0,69.07407407407406,74.44444444444446,81.2962962962963,90.37037037037037
0120,23.750000000000004,30.97222222222222,35.27777777777778,40.55555555555556,47.77777777777778,55.0,59.30555555555556,64.58333333333333,71.80555555555556
0180,17.499999999999996,22.685185185185187,25.74074074074074,29.537037037037038,34.72222222222222,39.907407407407405,42.96296296296296,46.75925925925925,51.94444444444444
0240,14.097222222222223,18.194444444444446,20.625,23.61111111111111,27.708333333333332,31.805555555555554,34.166666666666664,37.22222222222222,41.31944444444444
0360,10.416666666666666,13.333333333333334,15.046296296296298,17.222222222222225,20.13888888888889,23.055555555555557,24.768518518518515,26.944444444444443,29.86111111111111
0540,7.685185185185185,9.78395061728395,11.01851851851852,12.56172839506173,14.660493827160494,16.75925925925926,17.962962962962962,19.537037037037038,21.604938271604937
0720,6.203703703703704,7.847222222222222,8.819444444444445,10.046296296296296,11.689814814814813,13.356481481481481,14.305555555555555,15.532407407407407,17.199074074074076
1080,4.567901234567901,5.756172839506172,6.450617283950618,7.314814814814815,8.503086419753087,9.691358024691358,10.385802469135802,11.265432098765432,12.43827160493827
1440,3.6805555555555554,4.618055555555555,5.162037037037037,5.856481481481482,6.7824074074074066,7.7199074074074066,8.275462962962962,8.958333333333334,9.895833333333334
2880,2.3032407407407405,2.8703703703703702,3.2002314814814814,3.6226851851851856,4.189814814814815,4.756944444444445,5.092592592592593,5.509259259259259,6.0821759259259265
4320,1.7476851851851851,2.1682098765432096,2.4112654320987654,2.7199074074074074,3.1404320987654324,3.5570987654320985,3.8040123456790123,4.108796296296297,4.529320987654321
