Regendauer	HN_001A	HN_002A	HN_003A	HN_005A	HN_010A	HN_020A	HN_030A	HN_050A	HN_100A
0005	166,67	220,0	250,0	290,0	343,33	400,0	430,0	470,0	523,33
0010	130,0	165,0	186,67	213,33	250,0	286,67	306,67	333,33	370,0
0015	106,67	135,56	152,22	173,33	202,22	230,0	246,67	267,78	296,67
0020	90,83	115,0	129,17	146,67	170,83	195,0	209,17	227,5	251,67
0030	69,44	88,89	100,0	113,89	133,33	152,22	163,33	177,78	196,67
0045	51,85	66,67	75,56	86,67	101,85	117,04	125,93	137,04	152,22
0060	41,11	53,89	61,39	70,83	83,61	96,39	103,89	113,33	126,11
0090	30,19	39,07	44,44	50,93	60,0	69,07	74,26	80,93	89,81
0120	24,17	31,11	35,28	40,42	47,5	54,44	58,61	63,75	70,69
0180	17,69	22,59	25,56	29,17	34,07	38,98	41,85	45,46	50,46
0240	14,24	18,06	20,28	23,12	26,94	30,76	33,06	35,83	39,72
0360	10,42	13,1	14,68	16,67	19,35	22,08	23,66	25,65	28,33
0540	7,62	9,54	10,65	12,04	13,92	15,83	16,94	18,33	20,22
0720	6,11	7,59	8,47	9,56	11,02	12,5	13,36	14,44	15,93
1080	4,49	5,52	6,13	6,9	7,93	8,97	9,58	10,34	11,39
1440	3,6	4,41	4,88	5,47	6,28	7,09	7,57	8,16	8,97
2880	2,26	2,77	3,07	3,45	3,96	4,47	4,77	5,14	5,65
4320	1,72	2,11	2,33	2,61	2,99	3,37	3,6	3,88	4,26
