Regendauer	HN_001A	HN_002A	HN_003A	HN_005A	HN_010A	HN_020A	HN_030A	HN_050A	HN_100A
0005	163,33	213,33	243,33	280,0	330,0	380,0	410,0	446,67	500,0
0010	128,33	163,33	183,33	208,33	243,33	278,33	298,33	325,0	358,33
0015	105,56	133,33	150,0	170,0	197,78	226,67	242,22	263,33	291,11
0020	90,0	114,17	127,5	145,0	169,17	193,33	207,5	225,0	248,33
0030	69,44	88,33	100,0	113,89	132,78	152,22	163,33	177,78	196,67
0045	51,48	67,04	75,93	87,41	102,59	118,15	127,04	138,52	153,7
0060	41,11	54,17	61,94	71,67	85,0	98,06	105,83	115,56	128,61
0090	30,37	39,63	45,0	51,85	61,11	70,37	75,74	82,59	91,85
0120	24,44	31,67	35,83	41,11	48,33	55,56	59,72	65,0	72,22
0180	18,06	23,06	26,02	29,72	34,81	39,91	42,87	46,57	51,57
0240	14,51	18,47	20,76	23,68	27,57	31,53	33,82	36,74	40,69
0360	10,69	13,47	15,09	17,13	19,91	22,64	24,26	26,3	29,07
0540	7,9	9,85	10,99	12,41	14,35	16,3	17,44	18,86	20,8
0720	6,37	7,87	8,77	9,88	11,39	12,89	13,77	14,88	16,41
1080	4,69	5,76	6,37	7,16	8,23	9,29	9,91	10,68	11,74
1440	3,78	4,61	5,09	5,71	6,53	7,35	7,84	8,45	9,27
2880	2,37	2,85	3,14	3,5	3,98	4,46	4,75	5,1	5,59
4320	1,8	2,15	2,36	2,62	2,97	3,32	3,53	3,78	4,14
