Regendauer	HN_001A	HN_002A	HN_003A	HN_005A	HN_010A	HN_020A	HN_030A	HN_050A	HN_100A
0005	163,33	210,0	240,0	273,33	320,0	370,0	396,67	433,33	480,0
0010	128,33	161,67	180,0	205,0	238,33	271,67	291,67	315,0	348,33
0015	104,44	131,11	147,78	167,78	194,44	221,11	237,78	257,78	284,44
0020	88,33	111,67	125,83	142,5	165,83	189,17	203,33	220,83	244,17
0030	67,78	86,67	97,78	111,67	130,56	150,0	161,11	175,0	193,89
0045	50,0	65,56	74,44	85,93	101,48	116,67	125,93	137,41	152,59
0060	39,72	53,06	60,83	70,56	84,17	97,5	105,28	115,0	128,33
0090	29,26	38,7	44,26	51,3	60,74	70,19	75,74	82,78	92,22
0120	23,61	30,97	35,42	40,83	48,19	55,69	60,0	65,42	72,92
0180	17,41	22,69	25,74	29,63	34,91	40,09	43,24	47,13	52,31
0240	14,03	18,12	20,56	23,61	27,71	31,81	34,24	37,29	41,39
0360	10,32	13,24	14,95	17,13	20,05	22,96	24,68	26,85	29,77
0540	7,62	9,69	10,9	12,44	14,51	16,57	17,81	19,32	21,39
0720	6,13	7,75	8,73	9,91	11,55	13,17	14,12	15,32	16,94
1080	4,52	5,68	6,36	7,21	8,36	9,51	10,19	11,03	12,19
1440	3,65	4,55	5,08	5,74	6,64	7,56	8,08	8,75	9,65
2880	2,36	2,86	3,15	3,51	4,01	4,51	4,8	5,16	5,66
4320	1,83	2,18	2,38	2,64	2,99	3,34	3,54	3,8	4,15
